kanji	count	freq	freq_cum	jouyou	jouyou_pos
絡	14898	0.000658922	0.706949	7	1045
絢	118	5.21901e-06	0.998294	0	0
絣	11	4.86518e-07	0.999872	0	0
給	4673	0.000206682	0.900959	4	572
絨	36	1.59224e-06	0.999545	0	0
統	2380	0.000105265	0.952905	5	784
絲	15	6.63433e-07	0.999829	0	0
絵	13273	0.00058705	0.733515	2	178
絶	25158	0.00111271	0.581918	5	649
絹	806	3.56485e-05	0.98616	6	985
絽	2	8.84578e-08	0.999977	0	0
継	6604	0.000292088	0.857235	7	1104
続	23394	0.00103469	0.607705	4	467
綜	40	1.76916e-06	0.999469	0	0
綬	6	2.65373e-07	0.999934	0	0
維	1241	5.4888e-05	0.97774	7	1509
綱	1263	5.58611e-05	0.977298	7	1503
網	872	3.85676e-05	0.985049	7	1621
綴	33	1.45955e-06	0.999577	0	0
綸	3	1.32687e-07	0.999965	0	0
綺	342	1.51263e-05	0.994716	0	0
綻	292	1.29148e-05	0.995688	7	1886
綾	3454	0.000152767	0.928511	0	0
綿	912	4.03367e-05	0.984343	5	816
緊	3832	0.000169485	0.919493	7	1210
緋	668	2.95449e-05	0.988983	0	0
総	8873	0.000392443	0.820299	5	700
緑	1571	6.94836e-05	0.970764	3	433
緒	39162	0.00173209	0.463728	7	1016
緘	3	1.32687e-07	0.999965	0	0
線	9281	0.000410488	0.80986	2	204
緞	2	8.84578e-08	0.999982	0	0
締	3133	0.000138569	0.936098	7	1251
緡	2	8.84578e-08	0.999984	0	0
編	4472	0.000197792	0.905985	5	755
緩	550	2.43259e-05	0.990958	7	1732
緬	4	1.76916e-07	0.999955	0	0
緯	333	1.47282e-05	0.99488	7	1850
練	7135	0.000315573	0.84421	3	369
緻	63	2.78642e-06	0.99913	7	2061
縁	4888	0.000216191	0.895232	7	1161
縄	1791	7.92139e-05	0.965325	7	1390
縊	7	3.09602e-07	0.999917	0	0
縋	1	4.42289e-08	0.999993	0	0
縒	10	4.42289e-07	0.999889	0	0
縛	1285	5.68341e-05	0.976961	7	1497
縞	31	1.3711e-06	0.999615	0	0
縣	185	8.18234e-06	0.997386	0	0
縦	596	2.63604e-05	0.990145	6	995
縫	1300	5.74976e-05	0.976618	7	1494
縮	1244	5.50207e-05	0.977631	6	978
縷	10	4.42289e-07	0.99988	0	0
縺	1	4.42289e-08	0.99999	0	0
總	2	8.84578e-08	0.999983	0	0
績	2046	9.04923e-05	0.959978	5	795
繁	1975	8.73521e-05	0.961403	7	1366
繊	1085	4.79883e-05	0.981329	7	1563
繋	1318	5.82937e-05	0.975924	0	0
繍	116	5.13055e-06	0.99832	0	0
織	11866	0.00052482	0.760094	5	679
繕	285	1.26052e-05	0.995854	7	1894
繚	3	1.32687e-07	0.999972	0	0
繪	1	4.42289e-08	0.999998	0	0
繭	465	2.05664e-05	0.992801	7	1779
繰	2462	0.000108892	0.950975	7	1312
繹	2	8.84578e-08	0.999986	0	0
繼	1	4.42289e-08	0.999999	0	0
纂	9	3.9806e-07	0.999901	0	0
纏	50	2.21144e-06	0.999326	0	0
纒	2	8.84578e-08	0.999988	0	0
纜	1	4.42289e-08	0.999994	0	0
缶	822	3.63561e-05	0.985836	7	1633
罘	1	4.42289e-08	0.999993	0	0
罠	481	2.12741e-05	0.992508	0	0
罪	15444	0.000683071	0.69825	5	665
